Locus,HMBR_C,HMBR_V,foldchange_HMBR
1884,1.9167000312959588,3.9261830970517186,2.0484076970547482
4230,0.32109875776588975,0.08773199835720383,0.2732243468259334
6874,0.7598662357508629,0.590934321361914,0.7776820360730747
11521,1.2714408724098032,1.7005766670612894,1.3375192696441567
12970,0.6565264651002485,0.8524072104418217,1.2983592524509475
13620,4.857273318016873,1.6326992262323758,0.3361349298949836
16210,0.9381055647826385,1.863591001245851,1.9865472194247669
17430,0.28661562591241124,2.8876347328793655,10.074938251139931
19164,0.45922726158356747,0.05962784881894688,0.1298438786350147
21657,0.29918016585560264,0.30093693108513475,1.0058719307963082
22675,0.8979525813560224,0.9072737277793875,1.0103804439308912
24112,1.72277417564786,1.6539347131391664,0.960041505449891
