Locus,HMBR_C,HMBR_V,foldchange_HMBR
1579,1.4144767344295437,2.097746626493003,1.483054882015448
3651,17.81926285574788,30.249221981122457,1.6975574256914394
4794,16.535359096796746,13.498011078000635,0.8163119409130637
4795,16.535359096796746,12.322154642380976,0.7452003050098889
5077,0.6191165659230344,0.7861626784388461,1.2698136695256481
5094,3.715563440212221,2.372335046207098,0.638485948196217
5121,2.646782617087874,1.2204961627932993,0.4611244440377018
5146,1.208227435484304,1.2017115953853927,0.9946071079769022
5162,0.8936503202090978,,
5206,0.8623603311605628,0.6471087667367067,0.7503925486296767
5209,0.8623603311605628,0.607140947160969,0.7040455424751275
5455,0.6972857919180115,0.5326664693469897,0.7639141303622343
5638,11.783163443501683,,
5655,5.9158318202999425,6.108985391902205,1.032650281054215
6169,2.0467168883894766,2.79264121587081,1.3644491974990676
6223,0.8573123907875777,1.6304886286526907,1.9018605658490806
6306,32.269085071474855,33.910362503933754,1.0508622239776408
7038,43.18175625353028,41.30755316220888,0.9565973398507113
7640,5.06121579418717,7.238208860794679,1.4301324336156138
7992,20.836266516417236,22.333625473606013,1.0718631121371471
8257,0.5618977081282642,0.8673322675463342,1.5435768023249323
13798,,47.4371470497804,
